source_abs;target_abs;kind;collision;status;detail
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S04/24.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 04/Paw Patrol (2013) - s04e24.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S04/25.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 04/Paw Patrol (2013) - s04e25.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S04/26.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 04/Paw Patrol (2013) - s04e26.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S04/2.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 04/Paw Patrol (2013) - s04e02.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S04/3.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 04/Paw Patrol (2013) - s04e03.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S04/4.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 04/Paw Patrol (2013) - s04e04.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S04/5.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 04/Paw Patrol (2013) - s04e05.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S04/6.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 04/Paw Patrol (2013) - s04e06.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S04/7.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 04/Paw Patrol (2013) - s04e07.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S04/8.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 04/Paw Patrol (2013) - s04e08.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S04/9.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 04/Paw Patrol (2013) - s04e09.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S05/10.mp4;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 05/Paw Patrol (2013) - s05e10.mp4;tv_show;no;skipped_missing_source;source not found
