path;kind;title;detail;tmdb;match_title;match_year;note
Paw Patrol/PAW.Patrol.S06/25.mp4;tv_show;Щенячий патруль;S06E25;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S06/26.mp4;tv_show;Щенячий патруль;S06E26;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S06/2.mp4;tv_show;Щенячий патруль;S06E02;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S06/3.mp4;tv_show;Щенячий патруль;S06E03;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S06/4.mp4;tv_show;Щенячий патруль;S06E04;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S06/5.mp4;tv_show;Щенячий патруль;S06E05;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S06/6.mp4;tv_show;Щенячий патруль;S06E06;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S06/7.mp4;tv_show;Щенячий патруль;S06E07;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S06/8.mp4;tv_show;Щенячий патруль;S06E08;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S06/9.mp4;tv_show;Щенячий патруль;S06E09;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S07/10.mp4;tv_show;Щенячий патруль;S07E10;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S07/11.mp4;tv_show;Щенячий патруль;S07E11;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S07/12.mp4;tv_show;Щенячий патруль;S07E12;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S07/13.mp4;tv_show;Щенячий патруль;S07E13;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S07/14.mp4;tv_show;Щенячий патруль;S07E14;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S07/15.mp4;tv_show;Щенячий патруль;S07E15;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S07/16.mp4;tv_show;Щенячий патруль;S07E16;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S07/17.mp4;tv_show;Щенячий патруль;S07E17;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S07/18.mp4;tv_show;Щенячий патруль;S07E18;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S07/19.mp4;tv_show;Щенячий патруль;S07E19;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S07/1.mp4;tv_show;Щенячий патруль;S07E01;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S07/20.mp4;tv_show;Щенячий патруль;S07E20;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S07/21.mp4;tv_show;Щенячий патруль;S07E21;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S07/22.mp4;tv_show;Щенячий патруль;S07E22;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S07/23.mp4;tv_show;Щенячий патруль;S07E23;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S07/24.mp4;tv_show;Щенячий патруль;S07E24;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S07/25.mp4;tv_show;Щенячий патруль;S07E25;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S07/26.mp4;tv_show;Щенячий патруль;S07E26;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S07/2.mp4;tv_show;Щенячий патруль;S07E02;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S07/3.mp4;tv_show;Щенячий патруль;S07E03;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S07/4.mp4;tv_show;Щенячий патруль;S07E04;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S07/5.mp4;tv_show;Щенячий патруль;S07E05;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S07/6.mp4;tv_show;Щенячий патруль;S07E06;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S07/7.mp4;tv_show;Щенячий патруль;S07E07;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S07/8.mp4;tv_show;Щенячий патруль;S07E08;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S07/9.mp4;tv_show;Щенячий патруль;S07E09;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S08/10.mp4;tv_show;Щенячий патруль;S08E10;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S08/11.mp4;tv_show;Щенячий патруль;S08E11;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S08/12.mp4;tv_show;Щенячий патруль;S08E12;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S08/13.mp4;tv_show;Щенячий патруль;S08E13;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S08/14.mp4;tv_show;Щенячий патруль;S08E14;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S08/15.mp4;tv_show;Щенячий патруль;S08E15;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S08/16.mp4;tv_show;Щенячий патруль;S08E16;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S08/17.mp4;tv_show;Щенячий патруль;S08E17;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S08/18.mp4;tv_show;Щенячий патруль;S08E18;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S08/19.mp4;tv_show;Щенячий патруль;S08E19;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S08/1.mp4;tv_show;Щенячий патруль;S08E01;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S08/20.mp4;tv_show;Щенячий патруль;S08E20;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S08/21.mp4;tv_show;Щенячий патруль;S08E21;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S08/22.mp4;tv_show;Щенячий патруль;S08E22;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S08/23.mp4;tv_show;Щенячий патруль;S08E23;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S08/24.mp4;tv_show;Щенячий патруль;S08E24;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S08/2.mp4;tv_show;Щенячий патруль;S08E02;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S08/3.mp4;tv_show;Щенячий патруль;S08E03;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S08/4.mp4;tv_show;Щенячий патруль;S08E04;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S08/5.mp4;tv_show;Щенячий патруль;S08E05;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S08/6.mp4;tv_show;Щенячий патруль;S08E06;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S08/7.mp4;tv_show;Щенячий патруль;S08E07;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S08/8.mp4;tv_show;Щенячий патруль;S08E08;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S08/9.mp4;tv_show;Щенячий патруль;S08E09;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S09/10.mp4;tv_show;Щенячий патруль;S09E10;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S09/11.mp4;tv_show;Щенячий патруль;S09E11;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S09/12.mp4;tv_show;Щенячий патруль;S09E12;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S09/13.mp4;tv_show;Щенячий патруль;S09E13;57532;Щенячий патруль;2013;
